Streamer,Date,Duration,Viewers
alanzoka,2020-02-13T18:19:25Z,8h32m6s,77711
alanzoka,2020-02-12T22:05:37Z,5h0m19s,46749
alanzoka,2020-02-12T18:22:45Z,3h41m45s,34227
alanzoka,2020-02-12T05:06:39Z,3h38m55s,8305
alanzoka,2020-02-11T18:12:51Z,7h31m5s,50134
alanzoka,2020-02-10T18:08:39Z,4h44m24s,49389
alanzoka,2020-02-07T18:26:56Z,7h45m10s,90211
alanzoka,2020-02-07T01:06:31Z,23m10s,18595
alanzoka,2020-02-06T19:17:55Z,5h47m11s,53878
alanzoka,2020-02-06T18:17:21Z,41m24s,15232
alanzoka,2020-02-05T18:38:40Z,6h45m9s,130676
alanzoka,2020-02-04T21:41:35Z,2h28m55s,27774
alanzoka,2020-02-04T18:18:38Z,3h22m49s,42256
alanzoka,2020-02-03T18:14:02Z,8h32m40s,84255
alanzoka,2020-01-31T18:44:36Z,1h52m59s,43454
alanzoka,2020-01-30T18:23:12Z,8h11m15s,118817
alanzoka,2020-01-30T16:26:22Z,5h39m20s,21712
alanzoka,2020-01-30T16:24:46Z,4h14m13s,10528
alanzoka,2020-01-29T18:15:01Z,6h17m46s,110577
alanzoka,2020-01-27T18:14:24Z,9h25m59s,57327
alanzoka,2020-01-25T20:02:49Z,5h27m17s,17490
alanzoka,2020-01-25T20:01:48Z,4h40m48s,12795
alanzoka,2020-01-25T20:00:36Z,3h35m28s,14094
alanzoka,2020-01-24T18:17:05Z,9h15m28s,74613
alanzoka,2020-01-23T18:19:01Z,9h35m42s,54158
alanzoka,2020-01-21T18:16:31Z,6h55m44s,70930
alanzoka,2020-01-20T18:42:50Z,7h53m36s,70481
alanzoka,2020-01-18T05:08:36Z,6h17m42s,81268
alanzoka,2020-01-17T18:24:06Z,9h54m20s,84982
alanzoka,2020-01-16T18:24:59Z,6h28m58s,93300
alanzoka,2020-01-15T02:21:28Z,4h5m55s,18653
alanzoka,2020-01-15T01:29:48Z,5h34m3s,14882
alanzoka,2020-01-15T01:27:50Z,2h50m59s,8684
alanzoka,2020-01-15T01:26:37Z,2h59m14s,10132
alanzoka,2020-01-15T01:24:51Z,35m31s,3934
alanzoka,2020-01-15T01:23:37Z,3h54m58s,16221
alanzoka,2020-01-15T01:21:59Z,2h53m22s,16201
alanzoka,2020-01-14T18:12:12Z,6h54m38s,58317
alanzoka,2020-01-13T18:12:47Z,8h15m19s,63081
alanzoka,2020-01-10T18:27:20Z,10h2m20s,85583
alanzoka,2020-01-10T18:25:42Z,1m18s,10885
alanzoka,2020-01-09T21:19:52Z,4h50m5s,42181
alanzoka,2020-01-09T21:16:13Z,1m52s,9576
alanzoka,2020-01-09T19:19:13Z,1h53m25s,19695
alanzoka,2020-01-09T18:19:01Z,59m6s,10369
alanzoka,2020-01-08T19:18:39Z,7h4m58s,50746
alanzoka,2020-01-08T18:14:19Z,57m15s,16096
alanzoka,2020-01-07T18:41:46Z,8h37m27s,72055
alanzoka,2020-01-07T15:46:30Z,7h4m44s,102262
alanzoka,2020-01-06T18:33:44Z,7h43m10s,94927
alanzoka,2020-01-06T18:23:43Z,9m49s,14899
alanzoka,2019-12-30T18:16:22Z,8h37m24s,149616
alanzoka,2019-12-30T18:14:43Z,56s,8611
alanzoka,2019-12-27T18:17:20Z,8h49m39s,111313
alanzoka,2019-12-24T18:13:04Z,3h27m43s,70737
alanzoka,2019-12-23T18:57:45Z,7h5m33s,99845
alanzoka,2019-12-20T18:10:32Z,8h19m20s,130225
alanzoka,2019-12-18T18:28:53Z,7h41m46s,137781
alanzoka,2019-12-17T18:15:27Z,8h29m37s,91239
alanzoka,2019-12-17T04:30:43Z,3h26m12s,61199
alanzoka,2019-12-16T18:43:25Z,7h28m10s,66560
alanzoka,2019-12-13T18:26:25Z,8h49m56s,119512
alanzoka,2019-12-13T00:47:18Z,4h1m50s,118621
alanzoka,2019-12-12T18:17:55Z,2h59m24s,28898
alanzoka,2019-12-11T21:38:05Z,5h29m5s,55713
alanzoka,2019-12-11T21:34:38Z,1m2s,7302
alanzoka,2019-12-11T18:19:31Z,3h12m51s,22942
alanzoka,2019-12-10T18:20:58Z,7h28m55s,88450
alanzoka,2019-12-09T18:15:53Z,8h14m8s,78023
alanzoka,2019-12-09T18:15:15Z,30s,7859
alanzoka,2019-12-06T18:55:50Z,5h56m34s,131183
alanzoka,2019-12-06T18:23:00Z,18m22s,20559
alanzoka,2019-12-06T04:41:16Z,3h30m49s,42882
alanzoka,2019-12-05T18:10:01Z,8h20m39s,148238
alanzoka,2019-12-04T18:13:21Z,7h29m37s,224888
alanzoka,2019-12-04T15:39:26Z,3h21m52s,52756
alanzoka,2019-12-03T18:13:47Z,4h58m25s,98348
alanzoka,2019-12-02T18:53:24Z,6h18m28s,59037
alanzoka,2019-12-02T18:15:01Z,38m17s,8805
alanzoka,2019-11-30T15:49:56Z,1h7m27s,35749
alanzoka,2019-11-29T18:27:21Z,8h16m16s,75017
alanzoka,2019-11-28T18:18:00Z,8h1m24s,78547
alanzoka,2019-11-27T20:34:11Z,4h52m9s,43828
alanzoka,2019-11-27T18:16:18Z,2h9m13s,25267
alanzoka,2019-11-27T04:21:54Z,5h50m35s,32034
alanzoka,2019-11-26T18:29:44Z,8h3m35s,41225
alanzoka,2019-11-26T18:16:11Z,13m25s,5621
alanzoka,2019-11-26T04:17:44Z,2h27m55s,22760
alanzoka,2019-11-26T04:16:16Z,4h15m13s,29171
alanzoka,2019-11-26T04:14:41Z,4h52m16s,42596
alanzoka,2019-11-26T04:13:34Z,5h2m17s,73764
alanzoka,2019-11-26T02:41:12Z,6h1m22s,60291
alanzoka,2019-11-25T18:17:39Z,8h15m20s,58591
alanzoka,2019-11-22T18:09:42Z,8h18m31s,72454
alanzoka,2019-11-21T17:59:11Z,8h8m39s,56764
